After Verification: 17106981 similar pairs
+-----------+---+------------------+--------------+----------------+
|        id1|id2|           jaccard|O*NET-SOC Code|       resume_id|
+-----------+---+------------------+--------------+----------------+
| 8589944545| 26|               0.5|    49-9071.00|388daff777202464|
|       6023| 26|               0.5|    17-2041.00|388daff777202464|
|       6424| 26|               0.5|    17-2111.02|388daff777202464|
|       6651| 26|               0.5|    17-2141.00|388daff777202464|
|17179874275| 26|               0.5|    53-4013.00|388daff777202464|
|17179874323| 26|               0.5|    53-4021.00|388daff777202464|
|       4879| 26|0.6666666666666666|    15-1133.00|388daff777202464|
|       4898| 26|0.6666666666666666|    15-1133.00|388daff777202464|
|       4800| 26|               0.5|    15-1132.00|388daff777202464|
|       4884| 26|0.6666666666666666|    15-1133.00|388daff777202464|
|       4833| 26|0.6666666666666666|    15-1132.00|388daff777202464|
|       6005| 26|               0.5|    17-2031.00|388daff777202464|
|       7262| 26|               0.5|    17-3012.02|388daff777202464|
|      15100| 26|               0.5|    27-1021.00|388daff777202464|
|       6469| 26|               0.5|    17-2112.00|388daff777202464|
|       4822| 26|0.6666666666666666|    15-1132.00|388daff777202464|
|       6198| 26|               0.5|    17-2071.00|388daff777202464|
|       4829| 26|               1.0|    15-1132.00|388daff777202464|
|       5309| 26|0.6666666666666666|    15-1199.02|388daff777202464|
|       5281| 26|               0.5|    15-1199.01|388daff777202464|
+-----------+---+------------------+--------------+----------------+
